"名称","住所","URL","コメント","電話番号","写真","担当課","避難対象の災害","経度","緯度","分類"
"指定避難所（中野栄小学校）","仙台市宮城野区栄3-12-1","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）（2階以上）、地震、津波（2階以上）","140.982334751075","38.2833403642511","指定避難所"
"指定避難所（岡田小学校）","仙台市宮城野区岡田字北在家67","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）（2階以上）、地震、津波（3階以上）","140.97871933998","38.2564758085693","指定避難所"
"指定避難所（枡江小学校）","仙台市宮城野区枡江15-1","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）、地震","140.904318569962","38.281117560506","指定避難所"
"指定避難所（鶴巻小学校）","仙台市宮城野区鶴巻1-15-1","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）（2階以上）、地震、津波（2階以上）","140.968201006584","38.2630493679046","指定避難所"
"指定避難所（田子小学校）","仙台市宮城野区田子2-1-1","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）（2階以上）、地震、津波","140.961975788222","38.2805642191208","指定避難所"
"指定避難所（幸町南小学校）","仙台市宮城野区幸町5-2-1","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）（2階以上）、地震","140.8994169119","38.2741070612595","指定避難所"
"指定避難所（宮城野小学校）","仙台市宮城野区東宮城野2-1","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）、地震","140.916021564559","38.2608649664381","指定避難所"
"指定避難所（宮城野中学校）","仙台市宮城野区五輪1-4-25","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）、地震","140.899617008205","38.2625934246247","指定避難所"
"指定避難所（東華中学校）","仙台市宮城野区宮城野2-14-27","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）、地震
※大雨時は初動で開設されません。","140.899443579316","38.254331085174","指定避難所"
"指定避難所（東宮城野小学校）","仙台市宮城野区東宮城野5-1","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）、地震","140.919440779767","38.2591902903863","指定避難所"
"指定避難所（原町小学校）","仙台市宮城野区原町2-6-1","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）、地震","140.903564274474","38.266669128855","指定避難所"
